FigA,hrp2 deletion frequency after 20 years,PfPR,ft,PfPR_grouped,FigB,hrp2 deletion frequency after 20 years,PfPR,ft,PfPR_grouped
,95.59098599,0.146567347,0.2,0.0 - 0.15,,79.18757049,0.146567347,0.2,0.0 - 0.15
,93.41123292,0.161381224,0.2,0.15 - 0.2,,77.75241337,0.161381224,0.2,0.15 - 0.2
,95.38962183,0.168063061,0.2,0.15 - 0.2,,81.25246046,0.168063061,0.2,0.15 - 0.2
,94.14484211,0.180549592,0.2,0.15 - 0.2,,71.44246169,0.180549592,0.2,0.15 - 0.2
,93.74973625,0.182137823,0.2,0.15 - 0.2,,78.82244505,0.182137823,0.2,0.15 - 0.2
,92.25257085,0.205185238,0.2,0.2 - 0.25,,70.65127678,0.205185238,0.2,0.2 - 0.25
,89.73624698,0.209392721,0.2,0.2 - 0.25,,74.53753207,0.209392721,0.2,0.2 - 0.25
,88.02827436,0.224990068,0.2,0.2 - 0.25,,71.29267174,0.224990068,0.2,0.2 - 0.25
,88.14881827,0.242270408,0.2,0.2 - 0.25,,67.56822915,0.242270408,0.2,0.2 - 0.25
,86.24124171,0.250225578,0.2,0.25 - 0.3,,61.68509372,0.250225578,0.2,0.25 - 0.3
,80.44888793,0.269463741,0.2,0.25 - 0.3,,62.05122177,0.269463741,0.2,0.25 - 0.3
,82.58574583,0.279845578,0.2,0.25 - 0.3,,56.32075061,0.279845578,0.2,0.25 - 0.3
,77.0012521,0.294668231,0.2,0.25 - 0.3,,52.52319528,0.294668231,0.2,0.25 - 0.3
,74.0092309,0.310011769,0.2,0.3 - 0.35,,53.92109478,0.310011769,0.2,0.3 - 0.35
,73.6060815,0.32523415,0.2,0.3 - 0.35,,52.65504624,0.32523415,0.2,0.3 - 0.35
,68.73587524,0.34836068,0.2,0.3 - 0.35,,47.7900391,0.34836068,0.2,0.3 - 0.35
,64.40204294,0.362602245,0.2,0.35 - 0.4,,42.00370159,0.362602245,0.2,0.35 - 0.4
,57.62495802,0.381713673,0.2,0.35 - 0.4,,42.75507293,0.381713673,0.2,0.35 - 0.4
,54.56209796,0.401017551,0.2,0.4 - 0.45,,40.00011135,0.401017551,0.2,0.4 - 0.45
,54.70550501,0.417933537,0.2,0.4 - 0.45,,37.19478597,0.417933537,0.2,0.4 - 0.45
,45.65999185,0.44222102,0.2,0.4 - 0.45,,35.69663564,0.44222102,0.2,0.4 - 0.45
,46.21589333,0.455614082,0.2,0.45 - 0.5,,31.40949547,0.455614082,0.2,0.45 - 0.5
,45.53619705,0.473554966,0.2,0.45 - 0.5,,31.92061386,0.473554966,0.2,0.45 - 0.5
,38.54382448,0.490999048,0.2,0.45 - 0.5,,27.60962594,0.490999048,0.2,0.45 - 0.5
,37.23919268,0.50013068,0.2,0.5 - 0.55,,28.81083966,0.50013068,0.2,0.5 - 0.55
,36.42831536,0.531823401,0.2,0.5 - 0.55,,25.75030285,0.531823401,0.2,0.5 - 0.55
,30.23319963,0.549528639,0.2,0.5 - 0.55,,21.84596775,0.549528639,0.2,0.5 - 0.55
,30.14381173,0.55994932,0.2,0.55 - 0.6,,21.70814072,0.55994932,0.2,0.55 - 0.6
,30.10369469,0.58271551,0.2,0.55 - 0.6,,20.46486899,0.58271551,0.2,0.55 - 0.6
,26.66225236,0.594771905,0.2,0.55 - 0.6,,20.36449,0.594771905,0.2,0.55 - 0.6
,24.59467447,0.614812381,0.2,0.6 - 0.65,,19.58755979,0.614812381,0.2,0.6 - 0.65
,24.73133286,0.629918231,0.2,0.6 - 0.65,,19.29624342,0.629918231,0.2,0.6 - 0.65
,22.4343294,0.647138844,0.2,0.6 - 0.65,,16.70885114,0.647138844,0.2,0.6 - 0.65
,19.62158999,0.669324762,0.2,0.65 - 0.7,,16.02871364,0.669324762,0.2,0.65 - 0.7
,18.48970788,0.682761293,0.2,0.65 - 0.7,,15.49963614,0.682761293,0.2,0.65 - 0.7
,18.34592478,0.701075918,0.2,0.7 - 0.75,,15.00067053,0.701075918,0.2,0.7 - 0.75
,16.54632637,0.713292177,0.2,0.7 - 0.75,,13.99825192,0.713292177,0.2,0.7 - 0.75
,16.52197162,0.723303333,0.2,0.7 - 0.75,,13.3704919,0.723303333,0.2,0.7 - 0.75
,14.79463315,0.743146531,0.2,0.7 - 0.75,,13.40229255,0.743146531,0.2,0.7 - 0.75
,14.8867061,0.75485415,0.2,0.75 - 0.8,,12.5260039,0.75485415,0.2,0.75 - 0.8
,13.54239762,0.769008912,0.2,0.75 - 0.8,,11.68086397,0.769008912,0.2,0.75 - 0.8
,13.20215492,0.777992313,0.2,0.75 - 0.8,,11.78708411,0.777992313,0.2,0.75 - 0.8
,13.25795817,0.788118707,0.2,0.75 - 0.8,,11.39185431,0.788118707,0.2,0.75 - 0.8
,12.03837702,0.804062245,0.2,0.8 - 1.0,,11.42951393,0.804062245,0.2,0.8 - 1.0
,12.23616133,0.814685238,0.2,0.8 - 1.0,,11.07736734,0.814685238,0.2,0.8 - 1.0
,11.34843836,0.827327619,0.2,0.8 - 1.0,,10.81584796,0.827327619,0.2,0.8 - 1.0
,11.48106419,0.836064082,0.2,0.8 - 1.0,,10.52323267,0.836064082,0.2,0.8 - 1.0
,11.09323886,0.843468231,0.2,0.8 - 1.0,,9.971793774,0.843468231,0.2,0.8 - 1.0
,10.15601758,0.856123197,0.2,0.8 - 1.0,,9.723747821,0.856123197,0.2,0.8 - 1.0
,10.67829176,0.862204966,0.2,0.8 - 1.0,,9.622519142,0.862204966,0.2,0.8 - 1.0
,9.701507187,0.873972449,0.2,0.8 - 1.0,,9.521570924,0.873972449,0.2,0.8 - 1.0
,9.813153472,0.881794558,0.2,0.8 - 1.0,,9.30838771,0.881794558,0.2,0.8 - 1.0
,9.820943201,0.88524449,0.2,0.8 - 1.0,,9.337684451,0.88524449,0.2,0.8 - 1.0
,9.427725956,0.893824354,0.2,0.8 - 1.0,,9.31216767,0.893824354,0.2,0.8 - 1.0
,9.088022173,0.900816735,0.2,0.8 - 1.0,,9.157821149,0.900816735,0.2,0.8 - 1.0
,99.85478487,0.124137143,0.3,0.0 - 0.15,,98.85120516,0.124137143,0.3,0.0 - 0.15
,99.79001898,0.138422449,0.3,0.0 - 0.15,,97.92218709,0.138422449,0.3,0.0 - 0.15
,99.76258218,0.147763129,0.3,0.0 - 0.15,,98.48901782,0.147763129,0.3,0.0 - 0.15
,99.81101365,0.154789932,0.3,0.15 - 0.2,,97.80940899,0.154789932,0.3,0.15 - 0.2
,99.74393277,0.166474354,0.3,0.15 - 0.2,,97.94470027,0.166474354,0.3,0.15 - 0.2
,99.60305679,0.177265102,0.3,0.15 - 0.2,,97.16517386,0.177265102,0.3,0.15 - 0.2
,99.7302,0.185258435,0.3,0.15 - 0.2,,96.769296,0.185258435,0.3,0.15 - 0.2
,99.44048401,0.203472245,0.3,0.2 - 0.25,,95.95203471,0.203472245,0.3,0.2 - 0.25
,99.36907924,0.215259456,0.3,0.2 - 0.25,,96.11650675,0.215259456,0.3,0.2 - 0.25
,99.44537685,0.22270585,0.3,0.2 - 0.25,,94.60737232,0.22270585,0.3,0.2 - 0.25
,99.10428595,0.243715782,0.3,0.2 - 0.25,,93.28154398,0.243715782,0.3,0.2 - 0.25
,98.84714063,0.255060068,0.3,0.25 - 0.3,,91.49397493,0.255060068,0.3,0.25 - 0.3
,98.29308911,0.27059034,0.3,0.25 - 0.3,,89.32207066,0.27059034,0.3,0.25 - 0.3
,98.65511228,0.283307959,0.3,0.25 - 0.3,,88.3196642,0.283307959,0.3,0.25 - 0.3
,97.17579763,0.299163401,0.3,0.25 - 0.3,,85.06572709,0.299163401,0.3,0.25 - 0.3
,97.0312414,0.322249932,0.3,0.3 - 0.35,,83.06512745,0.322249932,0.3,0.3 - 0.35
,96.31544052,0.333072517,0.3,0.3 - 0.35,,83.74562543,0.333072517,0.3,0.3 - 0.35
,94.95199986,0.352676327,0.3,0.35 - 0.4,,77.84503859,0.352676327,0.3,0.35 - 0.4
,93.36317368,0.37477619,0.3,0.35 - 0.4,,74.46510835,0.37477619,0.3,0.35 - 0.4
,92.36044204,0.382118503,0.3,0.35 - 0.4,,69.58433854,0.382118503,0.3,0.35 - 0.4
,89.73493585,0.405535578,0.3,0.4 - 0.45,,65.30186284,0.405535578,0.3,0.4 - 0.45
,85.41005893,0.42763619,0.3,0.4 - 0.45,,61.69219555,0.42763619,0.3,0.4 - 0.45
,82.19371106,0.438010408,0.3,0.4 - 0.45,,58.18345394,0.438010408,0.3,0.4 - 0.45
,78.34784689,0.462680408,0.3,0.45 - 0.5,,51.66644383,0.462680408,0.3,0.45 - 0.5
,76.49956381,0.481708231,0.3,0.45 - 0.5,,52.04105619,0.481708231,0.3,0.45 - 0.5
,67.75980913,0.503884626,0.3,0.5 - 0.55,,45.29583248,0.503884626,0.3,0.5 - 0.55
,66.91454874,0.516929048,0.3,0.5 - 0.55,,42.66408445,0.516929048,0.3,0.5 - 0.55
,61.74510139,0.535336054,0.3,0.5 - 0.55,,42.22709348,0.535336054,0.3,0.5 - 0.55
,55.12849947,0.558422449,0.3,0.55 - 0.6,,35.69942848,0.558422449,0.3,0.55 - 0.6
,49.99217201,0.570121497,0.3,0.55 - 0.6,,33.6829491,0.570121497,0.3,0.55 - 0.6
,47.207757,0.591365782,0.3,0.55 - 0.6,,31.62183468,0.591365782,0.3,0.55 - 0.6
,41.21898205,0.60744517,0.3,0.6 - 0.65,,28.16684995,0.60744517,0.3,0.6 - 0.65
,39.53320511,0.624036667,0.3,0.6 - 0.65,,26.1682723,0.624036667,0.3,0.6 - 0.65
,33.30874016,0.643392449,0.3,0.6 - 0.65,,24.48119818,0.643392449,0.3,0.6 - 0.65
,33.23142521,0.657753605,0.3,0.65 - 0.7,,23.59127903,0.657753605,0.3,0.65 - 0.7
,28.53466422,0.676209932,0.3,0.65 - 0.7,,21.12841367,0.676209932,0.3,0.65 - 0.7
,27.20283671,0.686528299,0.3,0.65 - 0.7,,19.06204209,0.686528299,0.3,0.65 - 0.7
,25.80092096,0.703541837,0.3,0.7 - 0.75,,18.44921952,0.703541837,0.3,0.7 - 0.75
,23.16934491,0.714518639,0.3,0.7 - 0.75,,18.20311487,0.714518639,0.3,0.7 - 0.75
,22.11396811,0.730577211,0.3,0.7 - 0.75,,17.32833726,0.730577211,0.3,0.7 - 0.75
,19.02072858,0.746492585,0.3,0.7 - 0.75,,15.75113909,0.746492585,0.3,0.7 - 0.75
,18.8337628,0.756442245,0.3,0.75 - 0.8,,15.83635789,0.756442245,0.3,0.75 - 0.8
,17.25610283,0.771479864,0.3,0.75 - 0.8,,14.37352028,0.771479864,0.3,0.75 - 0.8
,15.6765831,0.78471932,0.3,0.75 - 0.8,,13.38234782,0.78471932,0.3,0.75 - 0.8
,14.82298999,0.794892993,0.3,0.75 - 0.8,,12.76128222,0.794892993,0.3,0.75 - 0.8
,14.53726936,0.807460884,0.3,0.8 - 1.0,,12.57200967,0.807460884,0.3,0.8 - 1.0
,13.84793085,0.817240952,0.3,0.8 - 1.0,,12.17952116,0.817240952,0.3,0.8 - 1.0
,13.55003189,0.823005918,0.3,0.8 - 1.0,,11.90275102,0.823005918,0.3,0.8 - 1.0
,12.68050991,0.837288571,0.3,0.8 - 1.0,,11.19384748,0.837288571,0.3,0.8 - 1.0
,12.35059343,0.844655578,0.3,0.8 - 1.0,,11.26667464,0.844655578,0.3,0.8 - 1.0
,11.73190889,0.85440415,0.3,0.8 - 1.0,,10.68284562,0.85440415,0.3,0.8 - 1.0
,11.00253767,0.86362381,0.3,0.8 - 1.0,,10.1993589,0.86362381,0.3,0.8 - 1.0
,10.8690214,0.87048034,0.3,0.8 - 1.0,,9.886795294,0.87048034,0.3,0.8 - 1.0
,10.37713839,0.879698503,0.3,0.8 - 1.0,,10.03010221,0.879698503,0.3,0.8 - 1.0
,10.13196817,0.885409048,0.3,0.8 - 1.0,,9.552457535,0.885409048,0.3,0.8 - 1.0
,100,0.105223878,0.4,0.0 - 0.15,,99.9520784,0.105223878,0.4,0.0 - 0.15
,99.99503768,0.117610544,0.4,0.0 - 0.15,,99.90182312,0.117610544,0.4,0.0 - 0.15
,99.98706375,0.127335714,0.4,0.0 - 0.15,,99.96329887,0.127335714,0.4,0.0 - 0.15
,99.99344018,0.138823605,0.4,0.0 - 0.15,,99.90651054,0.138823605,0.4,0.0 - 0.15
,99.99868329,0.15312034,0.4,0.15 - 0.2,,99.83906797,0.15312034,0.4,0.15 - 0.2
,99.99190949,0.161006531,0.4,0.15 - 0.2,,99.88437148,0.161006531,0.4,0.15 - 0.2
,99.97993456,0.173282245,0.4,0.15 - 0.2,,99.82945248,0.173282245,0.4,0.15 - 0.2
,99.9884444,0.192176531,0.4,0.15 - 0.2,,99.78524518,0.192176531,0.4,0.15 - 0.2
,99.96243029,0.197445238,0.4,0.15 - 0.2,,99.59915878,0.197445238,0.4,0.15 - 0.2
,99.98331635,0.207332245,0.4,0.2 - 0.25,,99.61901154,0.207332245,0.4,0.2 - 0.25
,99.94930216,0.232042109,0.4,0.2 - 0.25,,99.62491839,0.232042109,0.4,0.2 - 0.25
,99.95493625,0.240703401,0.4,0.2 - 0.25,,99.09924206,0.240703401,0.4,0.2 - 0.25
,99.94380936,0.265057347,0.4,0.25 - 0.3,,98.71025592,0.265057347,0.4,0.25 - 0.3
,99.94089657,0.269531224,0.4,0.25 - 0.3,,99.05815489,0.269531224,0.4,0.25 - 0.3
,99.87501577,0.288972517,0.4,0.25 - 0.3,,98.2144627,0.288972517,0.4,0.25 - 0.3
,99.80936711,0.309722313,0.4,0.3 - 0.35,,98.02639987,0.309722313,0.4,0.3 - 0.35
,99.72308102,0.324299864,0.4,0.3 - 0.35,,97.20748044,0.324299864,0.4,0.3 - 0.35
,99.66514903,0.345743265,0.4,0.3 - 0.35,,95.37348985,0.345743265,0.4,0.3 - 0.35
,99.40825735,0.359151973,0.4,0.35 - 0.4,,94.57577349,0.359151973,0.4,0.35 - 0.4
,99.06387599,0.383774694,0.4,0.35 - 0.4,,92.20850765,0.383774694,0.4,0.35 - 0.4
,98.76261548,0.396121088,0.4,0.35 - 0.4,,91.27757798,0.396121088,0.4,0.35 - 0.4
,98.15977764,0.414291429,0.4,0.4 - 0.45,,87.89221578,0.414291429,0.4,0.4 - 0.45
,97.73391818,0.433492721,0.4,0.4 - 0.45,,84.57930406,0.433492721,0.4,0.4 - 0.45
